,Chuyen muc,Nhu cau,Tinh/Thanh pho,Quan/huyen,Xa/Phuong,Duong/khu vuc,Gia,Ngay dang,Dien tich,Huong,So Tang,So phong,Nha ve sinh,Giay to phap,Dien thoai,Mo ta
2488,Nhà,Cần bán,Hồ Chí Minh,Quận 12,Phường Hiệp Thành,"12, Trần Thị Hè, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh","6,5 tỷ",07/05/2021,117m²,Nam,,3,2,Đã có sổ,Đăng nhập để xem,
2489,Đất,Cần bán,Bình Dương,Thị xã Bến Cát,Phường Mỹ Phước,"D8, Phường Mỹ Phước, Thị xã Bến Cát, Bình Dương",625 triệu,07/05/2021,79m²,,,,,Đã có sổ,Đăng nhập để xem,
2490,Nhà,Cho thuê,Hồ Chí Minh,Quận Bình Thạnh,Phường 21,"Đường Xô Viết Nghệ Tĩnh, Phường 21, Quận Bình Thạnh, Tp Hồ Chí Minh",8 triệu/tháng,07/05/2021,35m²,,,2,2,Đã có sổ,Đăng nhập để xem,
2491,Nhà,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Hiệp Tân,"Đường Lũy Bán Bích, Phường Hiệp Tân, Quận Tân Phú, Tp Hồ Chí Minh","6,6 tỷ",07/05/2021,48m²,,,4,5,Đã có sổ,Đăng nhập để xem,
2492,Nhà,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Hưng Hòa,"Đường Số 16, Phường Bình Hưng Hòa, Quận Bình Tân, Tp Hồ Chí Minh","5,2 tỷ",07/05/2021,90m²,Nam,3,4,4,Đã có sổ,Đăng nhập để xem,
2493,Nhà,Cần bán,Hồ Chí Minh,Quận 8,Phường 5,"Bông Sao, Phường 5, Quận 8, Tp Hồ Chí Minh","1,2 tỷ",07/05/2021,60m²,,1,3,2,Đã có sổ,Đăng nhập để xem,
2494,Nhà,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Hiệp Bình Phước,"Khu phố 5, Phường Hiệp Bình Phước, Quận Thủ Đức, Tp Hồ Chí Minh","3,5 tỷ",07/05/2021,65m²,,3,4,5,Đã có sổ,Đăng nhập để xem,
2495,Nhà,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 11,"Lê Văn Thọ., Phường 11, Quận Gò Vấp, Tp Hồ Chí Minh","6,99 tỷ",07/05/2021,64m²,,,4,5,,Đăng nhập để xem,
2496,Nhà,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 6,"Đường Nguyễn Văn Đậu, Phường 6, Quận Bình Thạnh, Tp Hồ Chí Minh","1,35 tỷ",07/05/2021,32m²,,2,3,2,Đã có sổ,Đăng nhập để xem,
2497,Đất,Cần bán,Đồng Nai,Huyện Xuân Lộc,Xã Bảo Hoà,"không số, Không Tên, Xã Bảo Hoà, Huyện Xuân Lộc, Đồng Nai",460 triệu,07/05/2021,6.800m²,,,,,,Đăng nhập để xem,
2498,Đất,Cần bán,Đồng Nai,Huyện Trảng Bom,Xã Tây Hoà,"Đường Tây Hòa 5, Xã Tây Hoà, Huyện Trảng Bom, Đồng Nai","15,75 tỷ",07/05/2021,2m²,,,,,Đã có sổ,Đăng nhập để xem,
2499,Nhà,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 17,"Đường Nguyễn Cửu Vân, Phường 17, Quận Bình Thạnh, Tp Hồ Chí Minh","8,6 tỷ",07/05/2021,43m²,,,5,5,,Đăng nhập để xem,
2500,Nhà,Cần bán,Hà Nội,Huyện Thanh Trì,Xã Thanh Liệt,"Đường Kim Giang, Xã Thanh Liệt, Huyện Thanh Trì, Hà Nội","2,95 tỷ",07/05/2021,45m²,,5,6,5,Đã có sổ,Đăng nhập để xem,
2501,Nhà,Cho thuê,Hồ Chí Minh,Quận Tân Phú,Phường Tây Thạnh,"Đường Tây Thạnh, Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",15 triệu/tháng,07/05/2021,100m²,,,5,4,,Đăng nhập để xem,
2502,Đất,Cần bán,Bình Dương,Thị xã Bến Cát,Phường Hòa Lợi,"hoà lợi, Phường Hòa Lợi, Thị xã Bến Cát, Bình Dương","1,25 tỷ",07/05/2021,300m²,,,,,Đã có sổ,Đăng nhập để xem,
2503,Nhà,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 15,"114/117, Đường Tô Ngọc Vân, Phường 15, Quận Gò Vấp, Tp Hồ Chí Minh","1,25 tỷ",07/05/2021,25m²,Tây,,1,1,Giấy tờ khác,Đăng nhập để xem,
2504,Đất,Cần bán,Long An,Huyện Cần Giuộc,Xã Long Thượng,"Hương lộ 11, Xã Long Thượng, Huyện Cần Giuộc, tỉnh Long An, Xã Long Thượng, Huyện Cần Giuộc, Long An","2,2 tỷ",07/05/2021,80m²,Đông,,,,Đã có sổ,Đăng nhập để xem,
2505,Nhà,Cần bán,Hồ Chí Minh,Quận 12,Phường Thạnh Lộc,"Đường Thạnh Lộc 15, Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh","4,6 tỷ",07/05/2021,49m²,Tây Nam,,4,3,Đã có sổ,Đăng nhập để xem,
2506,"Căn hộ, Chung cư",Cho thuê,Hồ Chí Minh,Quận Tân Bình,Phường 12,"Đường Hoàng Hoa Thám, Phường 12, Quận Tân Bình, Tp Hồ Chí Minh","4,6 triệu/tháng",07/05/2021,30m²,,,1,,,Đăng nhập để xem,
2507,Đất,Cần bán,Bình Dương,Thành phố Thủ Dầu Một,Phường Phú Tân,"Đường N25, Phường Phú Tân, Thành phố Thủ Dầu Một, Bình Dương","6,9 tỷ",07/05/2021,300m²,Tây Nam,,,,Đã có sổ,Đăng nhập để xem,
2508,Đất,Cần bán,Bình Phước,Huyện Đồng Phú,Xã Đồng Tiến,"Đường Quốc lộ 14, Xã Đồng Tiến, Huyện Đồng Phú, Bình Phước",350 triệu,07/05/2021,1.000m²,,,,,,Đăng nhập để xem,
2509,Đất,Cần bán,Bình Dương,Thành phố Thuận An,Phường An Phú,"Đường ĐT 743, Phường An Phú, Thành phố Thuận An, Bình Dương","1,35 tỷ",07/05/2021,110m²,,,,,Đã có sổ,Đăng nhập để xem,
2510,Nhà,Cần bán,Hồ Chí Minh,Quận 7,Phường Phú Mỹ,"Đường Hoàng Quốc Việt, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh","3,5 tỷ",07/05/2021,60m²,,4,5,6,Đã có sổ,Đăng nhập để xem,
2511,"Căn hộ, Chung cư",Cần bán,Hồ Chí Minh,Quận 2,Phường Thảo Điền,"Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Tp Hồ Chí Minh","1,95 tỷ",07/05/2021,75m²,Đông Bắc,,2,2,Đã có sổ,Đăng nhập để xem,
2512,Nhà,Cần bán,Hồ Chí Minh,Quận 12,Phường Trung Mỹ Tây,"trung mỹ tây 14a, Phường Trung Mỹ Tây, Quận 12, Tp Hồ Chí Minh","6,2 tỷ",07/05/2021,66m²,,,2,3,,Đăng nhập để xem,
2513,Nhà,Cần bán,Bình Dương,Thị xã Dĩ An,Phường Tân Đông Hiệp,"Đường Trần Thị Xanh, Phường Tân Đông Hiệp, Thị xã Dĩ An, Bình Dương","2,25 tỷ",07/05/2021,57m²,Đông,,3,1,Đã có sổ,Đăng nhập để xem,
2514,"Căn hộ, Chung cư",Cho thuê,Hà Nội,Quận Hai Bà Trưng,Phường Bạch Đằng,"49, Đường Nguyễn Khoái, Phường Bạch Đằng, Quận Hai Bà Trưng, Hà Nội",5 triệu/tháng,07/05/2021,55m²,Đông Nam,,2,1,Đã có sổ,Đăng nhập để xem,
2515,Nhà,Cần bán,Hồ Chí Minh,Quận 10,Phường 6,"tân phước, Phường 6, Quận 10, Tp Hồ Chí Minh","5,9 tỷ",07/05/2021,67m²,,1,2,2,,Đăng nhập để xem,
2516,"Căn hộ, Chung cư",Cần bán,Hồ Chí Minh,Quận 7,Phường Tân Thuận Đông,"Đường Nguyễn Văn Linh, Phường Tân Thuận Đông, Quận 7, Tp Hồ Chí Minh","3,7 tỷ",07/05/2021,65m²,,,2,1,Đang chờ sổ,Đăng nhập để xem,
2517,Nhà,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 2,"Đường Phạm Văn Hai, Phường 2, Quận Tân Bình, Tp Hồ Chí Minh","6,8 tỷ",07/05/2021,75m²,,,4,4,Đã có sổ,Đăng nhập để xem,
2518,Nhà,Cho thuê,Hồ Chí Minh,Quận Bình Thạnh,Phường 12,"Đường Phan Văn Trị, Phường 12, Quận Bình Thạnh, Tp Hồ Chí Minh","6,7 triệu/tháng",07/05/2021,21m²,,2,1,1,Đã có sổ,Đăng nhập để xem,
2519,Đất,Cần bán,Đắk Lắk,Thành phố Buôn Ma Thuột,Phường Tân Lập,"Y Niksor, Phường Tân Lập, Thành phố Buôn Ma Thuột, Đắk Lắk","1,7 tỷ",07/05/2021,125m²,Tây Bắc,,,,Đã có sổ,Đăng nhập để xem,
2520,Đất,Cần bán,Đà Nẵng,Huyện Hòa Vang,Xã Hòa Tiến,"Đường ĐT 605, Xã Hòa Tiến, Huyện Hòa Vang, Đà Nẵng",410 triệu,07/05/2021,155m²,,,,,Đã có sổ,Đăng nhập để xem,
2521,Nhà,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường An Lạc,"Nam Hùng Vương, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","11,9 tỷ",07/05/2021,135m²,Tây Bắc,5,6,6,Đã có sổ,Đăng nhập để xem,
2522,Nhà,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 11,"Đường Nguyên Hồng, Phường 11, Quận Bình Thạnh, Tp Hồ Chí Minh","6,9 tỷ",07/05/2021,42m²,,3,4,4,Đã có sổ,Đăng nhập để xem,
2523,"Căn hộ, Chung cư",Cần bán,Hồ Chí Minh,Quận 9,Phường Long Thạnh Mỹ,"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh",2 tỷ,07/05/2021,59m²,,,2,1,,Đăng nhập để xem,
2524,Nhà,Cần bán,Vĩnh Long,Huyện Bình Tân,Xã Mỹ Thuận,"đường nhựa, Xã Mỹ Thuận, Huyện Bình Tân, Vĩnh Long","2,5 tỷ",07/05/2021,64m²,,1,2,,Đã có sổ,Đăng nhập để xem,
2525,"Căn hộ, Chung cư",Cần bán,Hồ Chí Minh,Quận Phú Nhuận,Phường 8,"146, 146 Đường Nguyễn Văn Trỗi, Phường 8, Quận Phú Nhuận, Tp Hồ Chí Minh","1,85 tỷ",07/05/2021,42m²,,,1,1,Đã có sổ,Đăng nhập để xem,
2526,Nhà,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 13,"đường Bình Lợi, Phường 13, Quận Bình Thạnh, Tp Hồ Chí Minh","3,9 tỷ",07/05/2021,64m²,,,5,6,Đã có sổ,Đăng nhập để xem,
2527,Đất,Cần bán,Bình Dương,Thị xã Dĩ An,Phường Tân Đông Hiệp,"Đường ĐT 743C, Phường Tân Đông Hiệp, Thị xã Dĩ An, Bình Dương","3,4 triệu",07/05/2021,81m²,Đông,,,,,Đăng nhập để xem,
2528,"Căn hộ, Chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Hiệp Tân,"Đường Hòa Bình, Phường Hiệp Tân, Quận Tân Phú, Tp Hồ Chí Minh","3,28 tỷ",07/05/2021,86m²,,,3,2,Đang chờ sổ,Đăng nhập để xem,
2529,Đất,Cần bán,Đồng Nai,Thành phố Biên Hòa,Phường Trảng Dài,"Đường Nguyễn Thái Học, Phường Trảng Dài, Thành phố Biên Hòa, Đồng Nai","1,7 tỷ",07/05/2021,150m²,Đông Nam,,,,Đã có sổ,Đăng nhập để xem,
2530,Đất,Cần bán,Hồ Chí Minh,Huyện Củ Chi,Xã Phạm Văn Cội,"Đường 500, Xã Phạm Văn Cội, Huyện Củ Chi, Tp Hồ Chí Minh","2,85 tỷ",07/05/2021,590m²,,,,,Đã có sổ,Đăng nhập để xem,
2531,Nhà,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông A,"Đường Hương lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh","4,55 tỷ",07/05/2021,68m²,,,4,4,Đã có sổ,Đăng nhập để xem,
2532,Đất,Cần bán,Đồng Nai,Huyện Trảng Bom,Xã Hưng Thịnh,"Đường Quốc lộ 1A, Xã Hưng Thịnh, Huyện Trảng Bom, Đồng Nai",136 triệu,07/05/2021,119m²,,,,,Đang chờ sổ,Đăng nhập để xem,
2533,Nhà,Cho thuê,Hồ Chí Minh,Quận Bình Tân,Phường An Lạc A,"Đường Số 6D, Phường An Lạc A, Quận Bình Tân, Tp Hồ Chí Minh",25 triệu/tháng,07/05/2021,90m²,,,4,5,,Đăng nhập để xem,
2534,Đất,Cần bán,Cần Thơ,Quận Bình Thuỷ,Phường Bình Thủy,"xã Nguyễn Văn Thảnh, Bình Tân, Vĩnh Long, Phường Bình Thủy, Quận Bình Thuỷ, Cần Thơ","2,2 tỷ",07/05/2021,6.000m²,,,,,Đã có sổ,Đăng nhập để xem,
2535,Đất,Cần bán,Quảng Ngãi,Thành phố Quảng Ngãi,Xã Tịnh Khê,"Đường Mỹ Trà Mỹ Khê, Xã Tịnh Khê, Thành phố Quảng Ngãi, Quảng Ngãi","123,46 triệu",07/05/2021,155m²,Đông,,,,Đã có sổ,Đăng nhập để xem,
2536,Đất,Cần bán,Long An,Huyện Cần Giuộc,Xã Phước Vĩnh Tây,"Đường Ấp 3, Xã Phước Vĩnh Tây, Huyện Cần Giuộc, Long An",820 triệu,07/05/2021,500m²,Đông Nam,,,,Đã có sổ,Đăng nhập để xem,
2537,Nhà,Cần bán,Hồ Chí Minh,Quận 4,Phường 16,"Đường Đoàn Văn Bơ, Phường 16, Quận 4, Tp Hồ Chí Minh","4,6 tỷ",07/05/2021,65m²,,,3,,,Đăng nhập để xem,
2538,"Căn hộ, Chung cư",Cho thuê,Hồ Chí Minh,Quận Phú Nhuận,Phường 9,"128, 128 Đường Hồng Hà, Phường 9, Quận Phú Nhuận, Tp Hồ Chí Minh",10 triệu/tháng,07/05/2021,36m²,,,1,1,,Đăng nhập để xem,
2539,Nhà,Cần bán,Hồ Chí Minh,Quận 7,Phường Tân Hưng,"đường Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh","17,3 tỷ",07/05/2021,100m²,,4,5,5,Đã có sổ,Đăng nhập để xem,
2540,"Căn hộ, Chung cư",Cần bán,Hồ Chí Minh,Quận 2,Phường An Phú,"Đường Lương Định Của, Phường An Phú, Quận 2, Tp Hồ Chí Minh","3,1 tỷ",07/05/2021,56m²,,,2,2,Đã có sổ,Đăng nhập để xem,
2541,Đất,Cần bán,Bắc Giang,Huyện Hiệp Hòa,Xã Hoàng An,"Đường Quốc lộ 37, Xã Hoàng An, Huyện Hiệp Hòa, Bắc Giang",20 triệu,07/05/2021,121m²,,,,,Đã có sổ,Đăng nhập để xem,
2542,Đất,Cần bán,Khánh Hòa,Thành phố Nha Trang,Phường Phước Long,"đường Hưng Lợi, Phường Phước Long, Thành phố Nha Trang, Khánh Hòa","3,1 tỷ",07/05/2021,100m²,Đông Bắc,,,,Đã có sổ,Đăng nhập để xem,
2543,Đất,Cần bán,Đồng Nai,Huyện Nhơn Trạch,Xã Phú Đông,"Đường Võ Thị Sáu, Xã Phú Đông, Huyện Nhơn Trạch, Đồng Nai","1,3 tỷ",07/05/2021,103m²,,,,,Đã có sổ,Đăng nhập để xem,
2544,"Căn hộ, Chung cư",Cần bán,Hồ Chí Minh,Quận 7,Phường Tân Phong,"Đường Phạm Văn Nghị, Phường Tân Phong, Quận 7, Tp Hồ Chí Minh","2,59 tỷ",07/05/2021,70m²,Bắc,,2,2,Đã có sổ,Đăng nhập để xem,
2545,Nhà,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 9,"Nguyễn Văn Khối, Phường 9, Quận Gò Vấp, Tp Hồ Chí Minh","5,8 tỷ",07/05/2021,80m²,,,2,2,Đã có sổ,Đăng nhập để xem,
2546,Nhà,Cho thuê,Hồ Chí Minh,Quận 10,Phường 4,"Đường Nhật Tảo, Phường 4, Quận 10, Tp Hồ Chí Minh",15 triệu/tháng,07/05/2021,35m²,,3,4,2,Đã có sổ,Đăng nhập để xem,
2547,Nhà,Cần bán,Hà Nội,Quận Hoàng Mai,Phường Tương Mai,"Đường Tân Mai, Phường Tương Mai, Quận Hoàng Mai, Hà Nội","8,65 tỷ",07/05/2021,42m²,,,5,4,Đã có sổ,Đăng nhập để xem,
2548,Nhà,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Hiệp Bình Phước,"Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Quận Thủ Đức, Tp Hồ Chí Minh","6,6 tỷ",07/05/2021,55m²,,,4,4,Đã có sổ,Đăng nhập để xem,
2549,Nhà,Cần bán,Bình Dương,Thành phố Thuận An,Phường Bình Nhâm,"Bình Nhâm, Phường Bình Nhâm, Thành phố Thuận An, Bình Dương","2,85 tỷ",07/05/2021,100m²,,,2,2,Đã có sổ,Đăng nhập để xem,
2550,Đất,Cần bán,Bình Phước,Huyện Đồng Phú,Thị trấn Tân Phú,"Đường Tôn Đức Thắng, Thị trấn Tân Phú, Huyện Đồng Phú, Bình Phước","1,31 tỷ",07/05/2021,190m²,,,,,Đã có sổ,Đăng nhập để xem,
2551,Đất,Cần bán,Đồng Nai,Huyện Long Thành,Xã Long Đức,"Đường Quốc Lộ 51, Xã Long Đức, Huyện Long Thành, Đồng Nai",930 triệu,07/05/2021,150m²,,,,,Đã có sổ,Đăng nhập để xem,
2552,Đất,Cần bán,Hồ Chí Minh,Quận 7,Phường Tân Hưng,"Đường Trần Xuân Soạn, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh","7,2 tỷ",07/05/2021,80m²,Tây Nam,,,,Đã có sổ,Đăng nhập để xem,
2553,Đất,Cần bán,Cần Thơ,Quận Bình Thuỷ,Phường Trà An,"Đường Lê Thị Hồng Gấm, Phường Trà An, Quận Bình Thuỷ, Cần Thơ",7 tỷ,07/05/2021,930m²,Tây Nam,,,,Đã có sổ,Đăng nhập để xem,
2554,Đất,Cần bán,Hồ Chí Minh,Huyện Củ Chi,Xã Trung Lập Hạ,"Đường Tỉnh Lộ 2, Xã Trung Lập Hạ, Huyện Củ Chi, Tp Hồ Chí Minh","1,795 tỷ",07/05/2021,124m²,,,,,Đã có sổ,Đăng nhập để xem,
2555,Đất,Cần bán,Hồ Chí Minh,Quận 12,Phường Tân Hưng Thuận,"Đường DN5, Phường Tân Hưng Thuận, Quận 12, Tp Hồ Chí Minh","1,499 tỷ",07/05/2021,140m²,Đông Nam,,,,Đã có sổ,Đăng nhập để xem,
2556,Nhà,Cần bán,Bình Dương,Thị xã Tân Uyên,Xã Hội Nghĩa,"DT747, Xã Hội Nghĩa, Thị xã Tân Uyên, Bình Dương",900 triệu,07/05/2021,100m²,Đông,,2,1,Đã có sổ,Đăng nhập để xem,
2557,Đất,Cần bán,Bình Phước,Huyện Chơn Thành,Xã Minh Lập,"DT756, Xã Minh Lập, Huyện Chơn Thành, Bình Phước",978 triệu,07/05/2021,275m²,,,,,Đã có sổ,Đăng nhập để xem,
2558,Nhà,Cần bán,Đồng Nai,Thành phố Biên Hòa,Phường Hố Nai,"Đường Nguyễn Ái Quốc, Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",3 tỷ,07/05/2021,240m²,,,1,,Đã có sổ,Đăng nhập để xem,
2559,"Căn hộ, Chung cư",Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 22,"208, 208 Đường Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh",7 tỷ,07/05/2021,92m²,,,2,,,Đăng nhập để xem,
2560,Nhà,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 12,"Đường Võ Thành Trang, Phường 12, Quận Tân Bình, Tp Hồ Chí Minh","25,5 tỷ",07/05/2021,198m²,,,,,Đã có sổ,Đăng nhập để xem,
2561,Nhà,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Xã Bình Hưng,"Đường Quốc Lộ 50, Xã Bình Hưng, Huyện Bình Chánh, Tp Hồ Chí Minh","1,2 tỷ",07/05/2021,48m²,,1,2,2,Đã có sổ,Đăng nhập để xem,
2562,Nhà,Cho thuê,Hồ Chí Minh,Quận 9,Phường Phước Long A,"Đường 112, Phường Phước Long A, Quận 9, Tp Hồ Chí Minh",10 triệu/tháng,07/05/2021,67m²,,,2,1,Đã có sổ,Đăng nhập để xem,
2563,"Căn hộ, Chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Xã Tân Kiên,"Đường Võ Văn Kiệt, Xã Tân Kiên, Huyện Bình Chánh, Tp Hồ Chí Minh",400 triệu,07/05/2021,5.445m²,Đông,,2,1,Giấy tờ khác,Đăng nhập để xem,
2564,Nhà,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Xã Bình Chánh,"Đường Quốc lộ 1A, Xã Bình Chánh, Huyện Bình Chánh, Tp Hồ Chí Minh",600 triệu,07/05/2021,72m²,,,1,1,Đã có sổ,Đăng nhập để xem,
2565,Nhà,Cần bán,Hà Nội,Quận Tây Hồ,Phường Phú Thượng,"Đường An Dương Vương, Phường Phú Thượng, Quận Tây Hồ, Hà Nội","3,6 tỷ",07/05/2021,47m²,,4,4,3,,Đăng nhập để xem,
2566,Nhà,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Xã Bình Chánh,"Đường Đinh Đức Thiện, Xã Bình Chánh, Huyện Bình Chánh, Tp Hồ Chí Minh",900 triệu,07/05/2021,108m²,,,2,2,Đã có sổ,Đăng nhập để xem,
2567,Đất,Cần bán,Long An,Thành phố Tân An,Phường 5,"Phường 5, Phường 5, Thành phố Tân An, Long An",2 tỷ,07/05/2021,311m²,,,,,Đã có sổ,Đăng nhập để xem,
2568,Đất,Cần bán,Hồ Chí Minh,Huyện Củ Chi,Xã Tân Phú Trung,"Đường Hồ Văn Tắng, Xã Tân Phú Trung, Huyện Củ Chi, Tp Hồ Chí Minh",700 triệu,07/05/2021,100m²,,,,,Đã có sổ,Đăng nhập để xem,
2569,Nhà,Cần bán,Hà Nội,Quận Thanh Xuân,Phường Khương Mai,"Đường Lê Trọng Tấn, Phường Khương Mai, Quận Thanh Xuân, Hà Nội","2,5 tỷ",07/05/2021,34m²,,4,3,3,,Đăng nhập để xem,
2570,Đất,Cần bán,Đồng Nai,Huyện Cẩm Mỹ,Xã Xuân Bảo,"ấp nam hà, Xã Xuân Bảo, Huyện Cẩm Mỹ, Đồng Nai","3,2 tỷ",07/05/2021,3.800m²,,,,,Đã có sổ,Đăng nhập để xem,
2571,Nhà,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Hưng Hoà A,"Đường Lê Văn Quới, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh","2,25 tỷ",07/05/2021,28m²,,,3,3,,Đăng nhập để xem,
2572,Nhà,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Sơn Kỳ,"Đường Bình Long, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh","3,7 tỷ",07/05/2021,54m²,,,2,2,Đã có sổ,Đăng nhập để xem,
2573,Nhà,Cần bán,Đồng Nai,Thành phố Biên Hòa,Phường Trảng Dài,"Đường Bùi Trọng Nghĩa, Phường Trảng Dài, Thành phố Biên Hòa, Đồng Nai","3,95 tỷ",07/05/2021,208m²,Đông,1,2,2,Đã có sổ,Đăng nhập để xem,
2574,"Căn hộ, Chung cư",Cho thuê,Hồ Chí Minh,Quận 7,Phường Tân Phú,"Đường Nguyễn Văn Linh, Phường Tân Phú, Quận 7, Tp Hồ Chí Minh",35 triệu/tháng,07/05/2021,133m²,,,3,3,,Đăng nhập để xem,
2575,"Căn hộ, Chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 15,"Đường Phan Huy Ích, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh",950 triệu,07/05/2021,38m²,,,1,1,Đang chờ sổ,Đăng nhập để xem,
2576,Đất,Cần bán,Hồ Chí Minh,Huyện Củ Chi,Xã Phước Hiệp,"Cao Thị Bèo, Xã Phước Hiệp, Huyện Củ Chi, Tp Hồ Chí Minh","1,3 tỷ",07/05/2021,500m²,,,,,Đã có sổ,Đăng nhập để xem,
2577,Nhà,Cần bán,Hồ Chí Minh,Huyện Nhà Bè,Xã Phước Kiển,"Lê Thị Kính, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh","1,25 tỷ",07/05/2021,70m²,,1,2,2,Đã có sổ,Đăng nhập để xem,
2578,Đất,Cần bán,Hà Nội,Huyện Đông Anh,Xã Vân Hà,"Đường Vân Hà, Xã Vân Hà, Huyện Đông Anh, Hà Nội","5,8 tỷ",07/05/2021,400m²,Tây Bắc,,,,Đã có sổ,Đăng nhập để xem,
2579,Nhà,Cần bán,Bình Dương,Thành phố Thủ Dầu Một,Phường Phú Hòa,"Đường Quốc Lộ 13, Phường Phú Hòa, Thành phố Thủ Dầu Một, Bình Dương",4 tỷ,07/05/2021,105m²,Bắc,,4,4,Đã có sổ,Đăng nhập để xem,
2580,Nhà,Cần bán,Bình Dương,Thị xã Tân Uyên,Xã Hội Nghĩa,"dt745, Xã Hội Nghĩa, Thị xã Tân Uyên, Bình Dương",910 triệu,07/05/2021,80m²,Tây,2,3,2,Đã có sổ,Đăng nhập để xem,
2581,Nhà,Cần bán,Bình Dương,Thị xã Tân Uyên,Xã Hội Nghĩa,"DT745, Xã Hội Nghĩa, Thị xã Tân Uyên, Bình Dương",250 triệu,07/05/2021,60m²,Đông Nam,,2,1,Đã có sổ,Đăng nhập để xem,
2582,"Căn hộ, Chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Thị trấn Tân Túc,"Đường Tân Túc, Thị trấn Tân Túc, Bình Chánh, Hồ Chí Minh, Thị trấn Tân Túc, Huyện Bình Chánh, Tp Hồ Chí Minh","2,2 tỷ",07/05/2021,59m²,,,2,2,Giấy tờ khác,Đăng nhập để xem,
2583,"Căn hộ, Chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Hiệp Tân,"239 – 241 – 278, 239 – 241 – 278  Đường Hòa Bình, Phường Hiệp Tân, Quận Tân Phú, Tp Hồ Chí Minh","3,45 tỷ",07/05/2021,91m²,,,3,2,,Đăng nhập để xem,
2584,Đất,Cần bán,Bình Dương,Thị xã Tân Uyên,Xã Hội Nghĩa,"DT747, Xã Hội Nghĩa, Thị xã Tân Uyên, Bình Dương",900 triệu,07/05/2021,100m²,,,,,Đã có sổ,Đăng nhập để xem,
2585,"Căn hộ, Chung cư",Cho thuê,Hồ Chí Minh,Quận 7,Phường Tân Hưng,"Đường Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh",15 triệu/tháng,07/05/2021,162m²,,,3,3,Đã có sổ,Đăng nhập để xem,
2586,Đất,Cần bán,Bình Thuận,Huyện Bắc Bình,Xã Hồng Thái,"Đường Quốc lộ 1A, Xã Hồng Thái, Huyện Bắc Bình, Bình Thuận","760,1 triệu",07/05/2021,7.601m²,,,,,Đã có sổ,Đăng nhập để xem,
2587,Đất,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Hòa Thạnh,"20, Đường Đoàn Hồng Phước, Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh","48,9 tỷ",07/05/2021,465m²,,,,,Đã có sổ,Đăng nhập để xem,
